seed,dimension,n_class,n_cluster_per_class,ratio_affected,scenario_type,approach,pre_accuracy_global,precision_macro,recall_macro,f1_macro,memory_global,execution_time,num_degradations,degradations_per_100_windows,fraction_degraded,avg_recovery_time
3,10,2,2,0.5,2,0,0.9811717171717173,0.981412900544408,0.9813441358408416,0.9813584637277272,98.734375,4.480485916137695,0.0,0.0,0.0,0.0
2,2,2,1,1.0,0,0,0.9925656565656568,0.9925966244511448,0.9926061744245416,0.9925798435710698,130.0625,3.118480920791626,0.0,0.0,0.0,0.0
4,5,2,4,0.5,3,0,0.9286666666666666,0.936168619726065,0.9290778133211588,0.9290489498240658,126.0703125,3.32380485534668,1.0,1.0101010101010102,0.0101010101010101,1.0
4,2,2,4,1.0,3,0,0.9487272727272728,0.9493114390508606,0.9492072372529456,0.9492328640286484,158.6796875,3.2071783542633057,0.0,0.0,0.0,0.0
4,5,2,3,0.5,1,0,0.8693333333333334,0.8709957725339451,0.8705452791940262,0.8705664619561789,474.4609375,4.17735743522644,10.0,10.1010101010101,0.3232323232323232,3.2
3,10,2,2,1.0,1,0,0.9108888888888887,0.9120552466998588,0.911748359243072,0.9117408862240453,700.984375,4.983010768890381,3.0,3.0303030303030303,0.1515151515151515,5.0
4,10,2,4,0.5,0,0,0.9948494983277594,0.9948832248510968,0.9948575169598162,0.994859883490144,145.6640625,12.000041484832764,0.0,0.0,0.0,0.0
3,2,2,4,0.5,3,0,0.945090909090909,0.9457376569103156,0.9456008918304084,0.9456310048395566,136.46875,3.0864076614379883,0.0,0.0,0.0,0.0
2,10,2,2,0.5,1,0,0.9642424242424243,0.9645801570957642,0.964578872572462,0.9645792335501266,360.4375,4.122357606887817,1.0,1.0101010101010102,0.101010101010101,10.0
2,5,2,4,1.0,1,0,0.7615757575757575,0.7642040176704877,0.7637455963370887,0.7637078703598607,783.140625,4.59534764289856,7.0,7.07070707070707,0.5050505050505051,7.142857142857143
4,2,2,1,1.0,3,0,0.997777777777778,0.997806768382886,0.9977946401343456,0.9977998595754288,26.0546875,2.9214975833892822,0.0,0.0,0.0,0.0
3,2,2,2,0.5,2,0,0.9977575757575756,0.9977836210593838,0.997776439553586,0.997779819128904,26.0546875,2.784812688827514,0.0,0.0,0.0,0.0
4,5,2,2,0.5,3,0,0.997959595959596,0.9979590961843888,0.9979608252031684,0.9979599207715306,53.2109375,3.3164241313934326,0.0,0.0,0.0,0.0
