seed,dimension,n_class,n_cluster_per_class,ratio_affected,scenario_type,approach,pre_accuracy_global,precision_macro,recall_macro,f1_macro,memory_global,execution_time,num_degradations,degradations_per_100_windows,fraction_degraded,avg_recovery_time
2,2,2,3,1.0,0,21,0.9414949494949494,0.9422205089849058,0.9405490872271134,0.9403119429904004,61.0078125,5.229668617248535,6.0,6.0606060606060606,0.2727272727272727,4.5
2,10,2,1,1.0,3,22,0.9744242424242424,0.9746635527089716,0.9746585172738316,0.9746593877281532,109.7109375,8.097464799880981,0.0,0.0,0.0,0.0
3,10,2,1,0.5,0,20,0.99161872909699,0.9916455899934762,0.9916387944392204,0.991639901060356,109.703125,21.47910237312317,0.0,0.0,0.0,0.0
3,10,2,3,0.5,3,23,0.997959595959596,0.997961115571893,0.9979595140640088,0.9979599555359338,135.0078125,8.20382046699524,0.0,0.0,0.0,0.0
4,10,2,3,1.0,2,21,0.9733131313131312,0.9737423382874406,0.9735668570100646,0.9735572036924042,308.4765625,9.314583539962769,6.0,6.0606060606060606,0.101010101010101,1.6666666666666667
2,5,2,3,1.0,0,22,0.9974949494949494,0.9974986684581588,0.9975087065997176,0.9974999330978715,92.0625,9.176144123077393,0.0,0.0,0.0,0.0
3,5,2,4,1.0,1,21,0.8577575757575757,0.8570957902516294,0.8568275533462013,0.8567377904750401,614.625,19.681666374206543,6.0,6.0606060606060606,0.4848484848484848,8.0
2,2,2,1,0.5,3,20,0.9734949494949496,0.9741657609694726,0.9738141593988892,0.9737162591390756,44.2421875,5.940823316574097,0.0,0.0,0.0,0.0
2,5,2,3,1.0,1,22,0.8887878787878787,0.8900967807993243,0.8898250397634502,0.8898507839663348,175.6796875,13.28870153427124,3.0,3.0303030303030303,0.2525252525252525,8.333333333333334
3,10,2,1,1.0,3,22,0.9756767676767678,0.9766710191957044,0.9758847485940784,0.9758892062979956,109.7109375,8.338158130645752,0.0,0.0,0.0,0.0
3,2,2,4,1.0,3,21,0.8257171717171716,0.8281176700130553,0.8275108267288251,0.8273152513874222,219.96875,13.895483016967772,9.0,9.090909090909092,0.3737373737373737,4.111111111111111
3,10,2,2,1.0,1,23,0.9363030303030304,0.9374314278803856,0.9369061529211636,0.9368989686618788,436.2421875,12.50848126411438,3.0,3.0303030303030303,0.1717171717171717,5.666666666666667
4,2,2,1,0.5,2,20,0.9703636363636364,0.9709504027135788,0.9705723340002628,0.9706306224756476,72.8984375,6.622462272644043,1.0,1.0101010101010102,0.0101010101010101,1.0
3,10,2,4,0.5,1,22,0.9592121212121214,0.9596399275016017,0.95960278120589,0.9595984994905822,641.7578125,14.828595399856567,3.0,3.0303030303030303,0.1818181818181818,6.0
3,2,2,2,0.5,1,23,0.9408686868686869,0.9441102021481907,0.9412436175733404,0.941349774432472,124.9765625,7.233928442001343,3.0,3.0303030303030303,0.2525252525252525,8.333333333333334
2,10,2,2,0.5,1,23,0.9073333333333332,0.9111803820482636,0.9082695213859376,0.908078316673516,308.3515625,9.285202026367188,3.0,3.0303030303030303,0.3939393939393939,13.0
2,2,2,4,1.0,2,21,0.945090909090909,0.9475864044659092,0.943583269573778,0.9436968718832146,69.9765625,5.482569456100464,2.0,2.0202020202020203,0.1717171717171717,8.5
2,5,2,4,0.5,0,22,0.9803838383838384,0.9807001600566564,0.9806033419452792,0.9805590895250712,119.9375,11.78961181640625,0.0,0.0,0.0,0.0
3,2,2,3,0.5,1,22,0.96410101010101,0.9645018146009914,0.9644942750041974,0.9644592746277204,145.046875,10.9135582447052,1.0,1.0101010101010102,0.1616161616161616,16.0
4,5,2,3,1.0,1,22,0.9291717171717172,0.9298722337318968,0.92987558487505,0.929858581010714,153.1328125,14.790883541107178,4.0,4.040404040404041,0.1717171717171717,4.25
2,10,2,4,1.0,2,21,0.9971313131313132,0.9971437936697884,0.9971390383960176,0.9971399318111784,307.703125,13.267533779144289,0.0,0.0,0.0,0.0
3,2,2,2,1.0,0,22,0.9984882943143812,0.9984921332441274,0.998482226753,0.9984865930282992,37.0859375,22.78390955924988,0.0,0.0,0.0,0.0
4,2,2,1,1.0,1,22,0.9343232323232322,0.9357190545996248,0.934865656837518,0.9349375117058032,94.6875,8.635879755020142,1.0,1.0101010101010102,0.1414141414141414,14.0
4,10,2,1,1.0,3,22,0.9745252525252524,0.9749017338435888,0.9747532059131908,0.9747573492667172,109.7109375,7.933552503585815,0.0,0.0,0.0,0.0
4,2,2,1,1.0,3,23,0.997959595959596,0.9979851691382048,0.9979756756575382,0.997979875814018,42.75,5.462790250778198,0.0,0.0,0.0,0.0
4,5,2,4,0.5,3,20,0.951959595959596,0.9532339595052512,0.9523262632376064,0.952389859454924,152.96875,7.925531625747681,1.0,1.0101010101010102,0.0101010101010101,1.0
4,2,2,1,0.5,1,22,0.9336767676767675,0.9343372743699891,0.9343512603491222,0.9343380475684576,101.9453125,10.291002750396729,3.0,3.0303030303030303,0.1818181818181818,6.0
3,10,2,4,1.0,1,20,0.9154141414141412,0.9189831253451698,0.9162084408868943,0.9160968648324616,362.109375,12.888644695281982,6.0,6.0606060606060606,0.1414141414141414,2.333333333333333
2,2,2,2,1.0,0,21,0.8849696969696971,0.9031742847152568,0.8829092529385818,0.8808344997140447,33.65625,3.86423397064209,3.0,3.0303030303030303,0.4444444444444444,14.666666666666666
4,10,2,4,1.0,0,23,0.9686421404682272,0.9699132671675712,0.968459100222927,0.9684547153183743,172.7890625,33.46560883522034,0.0,0.0,0.0,0.0
2,10,2,1,0.5,0,20,0.97010101010101,0.9703968004759078,0.9703817742638774,0.9703792254012522,160.28125,7.7003302574157715,0.0,0.0,0.0,0.0
